id,name,street,zip_code,city
DHL Paketshop 436,Kiosk Stehcafe da Costa,Dürener Str. 346,50935,Köln
Packstation 290,,Venloer Str. 231b,50823,Köln
Postbank Filiale 478,N/A,Venloer Str. 231b,50823,Köln
Packstation 217,LIDL Markt,Luxemburger Str. 80,50354,Hürth
Packstation 104,"U-Bahn, Ausgang Turiner Str.",Ebertplatz 0,50668,Köln
DHL Paketshop 535,Reber Kiosk,Trimbornstr. 28,51105,Köln
Packstation 802,,Aachener Str. 300,50933,Köln
Postfiliale 559,Tabakwaren Chug,Rodenkirchener Str. 127,50997,Köln
Packstation 176,real Markt,Gremberger Str. 200,51105,Köln
Postfiliale 759,NB Tobaccostore GmbH,Thebäerstr. 9,50823,Köln
Postbank Filiale 537,N/A,Sudermanplatz 1a,50670,Köln
Packstation 288,"Postbank Finanzcenter, in der",Robertstr. 2,51105,Köln
Postbank Filiale 509,N/A,Robertstr. 2,51105,Köln
DHL Paketshop 435,U-Bahn Kiosk Kalk-Post,Kalker Hauptstr. ,51103,Köln
Packstation 110,"Postbank Finanzcenter, außen",Sudermanplatz 1a,50670,Köln
Packstation 133,"Postbank Finanzcenter, außen",Sudermanplatz 1a,50670,Köln
Packstation 182,Vorgarten Wohnhaus,Adlerstr. 9,50997,Köln
DHL Paketshop 498,Kiosk Ela,Graeffstr. 1,50823,Köln
Packstation 206,LIDL Markt,Ringstr. 48,50996,Köln
DHL Paketshop 442,Papa Afro Shop,Venloer Str. 252,50823,Köln
Postfiliale 528,Wilura Schreibwaren-Fachhandel,Bachstr. 63,50354,Hürth
Packstation 175,,Riehler Str. 12-14,50668,Köln
DHL Paketshop 661,Kult Kiosk 1,Venloer Str. 276,50823,Köln
DHL Paketshop 597,Kaktus-Jamei,Subbelrather Str. 119,50823,Köln
Packstation 145,Renneberg-Parkplatz,Bachstr. 49,50354,Hürth
Postfiliale 770,Presse Aussem,Neusser Str. 50,50670,Köln
DHL Paketshop 443,REWE Oliver Frank OHG,Reiherstr. 31,50997,Köln
DHL Paketshop 688,Erlebniskiosk,Bachstr. 43,50354,Hürth
DHL Paketshop 708,Kiosk im Rheinsternhaus,Mevissenstr. 16/6,50668,Köln
DHL Paketshop 683,REWE Markt GmbH,Venloer Str. 310,50823,Köln
Postfiliale 709,Post und Tabakshop im REWE-Markt,Venloer Str. 310,50823,Köln
Postfiliale 552,Post in Braunsfeld,Maarweg 11,50933,Köln
Packstation 234,app-gesteuerte Packstation Ne,Oskar-Jäger-Str. 52,50825,Köln
Packstation 183,LIDL Markt,Deutz-Mülheimer Str. 140,51063,Köln
Packstation 201,REWE Markt,Subbelrather Str. 168,50823,Köln
Packstation 199,Platzschaffen,Stolberger Str. 90a,50933,Köln
DHL Paketshop 458,Kiosk Paradis,Blumenthalstr. 91,50668,Köln
Packstation 153,"in der U-Bahnhaltestelle Venloer Str. / Gürtel, Verteilerebene (große Halle)",Venloer Str. ,50823,Köln
Packstation 197,ALDI Markt,Grüner Weg 2,50825,Köln
Postfiliale 820,,Liebigstr. 114,50823,Köln
Packstation 226,ALDI Markt,Wipperfürther Str. 35,51103,Köln
DHL Paketshop 639,Kiosk Ergin,Venloer Str. 383,50825,Köln
DHL Paketshop 627,Kemal's Kiosk,Liebigstr. 151,50823,Köln
Packstation 222,Lidl Markt,Hornstr. 88,50823,Köln
Packstation 106,Deutsche Post Gebäude,Ehrenfeldgürtel 125,50823,Köln
DHL Paketshop 604,Kiosk Braunsfeld,Aachener Str. 504-506,50933,Köln
DHL Paketshop 460,Bagdad Kiosk und Lebensmittel,Steprathstr. 16,51103,Köln
Packstation 143,Verteilerebene,Kalker Hauptstr. 247-273,51103,Köln
DHL Paketshop 758,Kiosk Ehrenfeld,Venloer Str. 358,50825,Köln
Packstation 232,ALDI Markt,Nettgesweg 1,50354,Hürth
DHL Paketshop 616,Kiosk Nagpal,Hartwichstr. 38,50733,Köln
Packstation 185,rechts neben Wohngebäude,Liebigstr. 250,50739,Köln
DHL Paketshop 422,Kiosk Budak,Subbelrather Str. 244,50825,Köln
Postfiliale 785,Kiosk 555,Jessestr. 27,50823,Köln
Packstation 173,"ARAL, Tankstelle, Shop Rückse",Kölner Str. 255,51149,Köln
DHL Paketshop 642,Kiosk Mohsani,Krankenhausstr. 111,50354,Hürth
DHL Paketshop 484,ARTKOM GmbH,Eupener Str. 1,50933,Köln
DHL Paketshop 503,Späti Nippes Kiosk,Christinastr. 1b,50733,Köln
Packstation 200,"REWE Markt, rechts vom Eingan",Widdersdorfer Str. 219,50825,Köln
DHL Paketshop 735,Servan Kiosk,Kaiserswerther Str. 1,50739,Köln
DHL Paketshop 669,Kiosk 60,Sechzigstr. 27,50733,Köln
Packstation 208,ALDI Markt,Max-Wallraf-Str. 6,50933,Köln
DHL Paketshop 593,Ensemble Phönix Bühnenspielgemein.,Platenstr. 32,50825,Köln
DHL Paketshop 591,REWE Markt GmbH,Subbelrather Str. 273-275,50825,Köln
Packstation 259,PENNY Markt,Ingeborg-Bachmann-Str. 1,50354,Hürth
DHL Paketshop 607,Mila's Kiosk,Siebachstr. 46,50733,Köln
Packstation 204,LIDL Markt,Leyendeckerstr. 2a,50825,Köln
Packstation 229,ALDI Markt,Osterather Str. 26,50739,Köln
DHL Paketshop 742,Easy's Kiosk,Neusser Str. 194,50733,Köln
DHL Paketshop 611,Lottoannahme Tseliopoulos,Merheimer Str. 89,50733,Köln
DHL Paketshop 428,Büro-Boutique,Venloer Str. 442,50825,Köln
Packstation 193,LIDL Markt,Kasernenstr. 2,51103,Köln
Packstation 277,"REWE Markt, im Markt",Neusser Str. 206,50733,Köln
Packstation 115,Postgebäude,Eupener Str. 80,50933,Köln
Packstation 149,ALDI Markt,Stollwerckstr. 6,51149,Köln
DHL Paketshop 678,Kiosk Cicek,Sürther Str. 158,50999,Köln
Packstation 289,,Wilhelmstr. 56-58,50733,Köln
DHL Paketshop 444,Subbelrather Eck,Subbelrather Str. 314,50825,Köln
Postbank Filiale 541,N/A,Wilhelmstr. 56-58,50733,Köln
DHL Paketshop 813,Zum Nachbar´s Eck,Helmholtzstr. 62,50825,Köln
Postfiliale 588,Foto Cipolla,Venloer Str. 500,50825,Köln
Postbank Filiale 508,N/A,Olpener Str. 9-13,51103,Köln
Packstation 129,Postbank Finanzcenter,Olpener Str. 9-13,51103,Köln
Postfiliale 537,Seyfried GbR,Ostheimer Str. 125,51107,Köln
Postfiliale 575,EDEKA Tarneja + Hein,Gilgaustr. 37,51149,Köln
DHL Paketshop 430,Veedels Kiosk,Lustheider Str. 31,51103,Köln
Packstation 205,LIDL Markt,Emil-Hoffmann-Str. 42,50996,Köln
DHL Paketshop 413,Kiosk Namaste,Fuldaer Str. 9,51103,Köln
Packstation 161,Aral Tankstelle,Kölnstr. 1,50999,Köln
Packstation 184,ALDI Markt,Am Feldrain 38,50999,Köln
Postfiliale 504,Gawdi Tabakwaren,Heidelberger Str. 31,51065,Köln
Packstation 299,ALDI Markt,Otto-Hahn-Str. 19,50997,Köln
Packstation 134,Esso Tankstelle,Rendsburger Platz 2,51065,Köln
Packstation 147,OBI,Frankfurter Str. 194-196,51065,Köln
Packstation 144,ARAL Tankstelle,Alter Deutzer Postweg 102,51149,Köln
Packstation 186,LIDL Markt,Kölner Str. 8,51149,Köln
Packstation 268,PENNY Markt,Sürther Hauptstr. 161,50999,Köln
DHL Paketshop 408,Büroservice Dönmez,Buchheimer Weg 38,51107,Köln
Postfiliale 795,Lotto Post Agentur Schiffer,Auf der Ruhr 34,50999,Köln
Postfiliale 569,,Sürther Hauptstr. 61-69,50999,Köln
DHL Paketshop 439,BE-DO UG,Zehnthofstr. 76,51107,Köln
DHL Paketshop 455,Kiosk Bayanay,Deutz-Mülheimer Str. 203,51063,Köln
