id,name,street,zip_code,city
Packstation 231kändlerstr. 101129dresden,nuk getränkemarkt,kändlerstr. 1,01129,dresden
Packstation 104lockwitzer str. 1301219dresden,vor einkaufshalle pfennigpfei,lockwitzer str. 13,01219,dresden
Postfiliale 522lockwitzer str. 1501219dresden,konsum dresden eg,lockwitzer str. 15,01219,dresden
Packstation 156löscherstr. 2001309dresden,konsum markt,löscherstr. 20,01309,dresden
Postfiliale borsbergstr. 3501309dresden,k kiosk im kaufland,borsbergstr. 35,01309,dresden
Postfiliale 532löscherstr. 2001309dresden,konsum,löscherstr. 20,01309,dresden
DHL Paketshop 468hirtenstr. 2501169dresden,gärtnerei rosen-eck,hirtenstr. 25,01169,dresden
Packstation 105karcherallee 101277dresden,frida markt,karcherallee 1,01277,dresden
Postfiliale 480schandauer str. 23b01309dresden,nahkauf striesen,schandauer str. 23b,01309,dresden
Paketbox meißner landstr. 9401157dresden,,meißner landstr. 94,01157,dresden
Postfiliale 528zwinglistr. 4001277dresden,zwingli-kiosk,zwinglistr. 40,01277,dresden
Packstation 155reicker str. 3501219dresden,"star tankstelle, rückseite",reicker str. 35,01219,dresden
DHL Paketshop 497gostritzer str. 6301217dresden,technologie zentrum dresden gmbh,gostritzer str. 63,01217,dresden
Packstation 153meißner str. 4901445radebeul,"aldi markt, parkplatz",meißner str. 49,01445,radebeul
Postfiliale 520spitzwegstr. 4801219dresden,post-lotto/lts presseshop i. konsum,spitzwegstr. 48,01219,dresden
Packstation 139spitzwegstr. 4801219dresden,"konsum markt, zugang neuostra",spitzwegstr. 48,01219,dresden
Packstation 133schandauer str. 4601277dresden,"konsum markt, zugang glashütt",schandauer str. 46,01277,dresden
Postfiliale 565elbtalblick 101705freital,büro + foto pesterwitz,elbtalblick 1,01705,freital
Packstation 160bodenbacher str. 62a01277dresden,lidl markt,bodenbacher str. 62a,01277,dresden
Packstation 221bodenbacher str. 62a01277dresden,lidl markt,bodenbacher str. 62a,01277,dresden
Postfiliale 521reicker str. 6001219dresden,pwv presseshop,reicker str. 60,01219,dresden
Postfiliale 651kesselsdorfer str. 32601156dresden,blumengeschäft geißler,kesselsdorfer str. 326,01156,dresden
Postfiliale glashütter str. 8901277dresden,änderungsschneiderei,glashütter str. 89,01277,dresden
Postfiliale 538hauptstr. 26a01445radebeul,post und versandartikel,hauptstr. 26a,01445,radebeul
Packstation 191loschwitzer str. 5201309dresden,"schillergalerie, tiefgaragena",loschwitzer str. 52,01309,dresden
Packstation 142bodenbacher str. 81a01277dresden,"obi, zufahrt liebstädter str.",bodenbacher str. 81a,01277,dresden
Postfiliale an der zschauke 401728bannewitz,cigo im real,an der zschauke 4,01728,bannewitz
DHL Paketshop 428bärensteiner str. 27-2901277dresden,wheels für people ug,bärensteiner str. 27-29,01277,dresden
Postfiliale 529tolkewitzer str. 801277dresden,annett knauer,tolkewitzer str. 8,01277,dresden
Paketbox am markt 601705freital,,am markt 6,01705,freital
Postbank Filiale 566am markt 601705freital,N/A,am markt 6,01705,freital
DHL Paketshop 726meißner str. 11601445radebeul,konsum drsden e.g.,meißner str. 116,01445,radebeul
Postbank Filiale 527hofmannstr. 6-801277dresden,N/A,hofmannstr. 6-8,01277,dresden
Paketbox hofmannstr. 6-801277dresden,,hofmannstr. 6-8,01277,dresden
Postfiliale enderstr. 5901277dresden,presseshop,enderstr. 59,01277,dresden
Packstation 214enderstr. 5901277dresden,"seidnitzcenter, 1. og, im auf",enderstr. 59,01277,dresden
Packstation 129reicker str. 9701237dresden,aldi markt,reicker str. 97,01237,dresden
DHL Paketshop 494breitscheidstr. 4501156dresden,bmc gewerbepark ag,breitscheidstr. 45,01156,dresden
Packstation 200gompitzer höhe 5a01156dresden,aldi markt,gompitzer höhe 5a,01156,dresden
DHL Paketshop 479gompitzer höhe 501156dresden,toom baumarkt gmbh,gompitzer höhe 5,01156,dresden
DHL Paketshop 672altenberger platz 501277dresden,graffitifresser gmbh,altenberger platz 5,01277,dresden
Packstation 227dresdner str. 4901156dresden,total tankstelle,dresdner str. 49,01156,dresden
Postfiliale 571bräunlinger str. 101728bannewitz,schreibartikel und postagentur,bräunlinger str. 1,01728,bannewitz
Postfiliale 507markt 801109dresden,verstrickt + zugenäht,markt 8,01109,dresden
DHL Paketshop 732berggießhübler str. 1101277dresden,farbwerk frseur & nageldesign ug,berggießhübler str. 11,01277,dresden
Postfiliale weintraubenstr. 3101445radebeul,presseshop,weintraubenstr. 31,01445,radebeul
Packstation 158dresdner str. 11201705freital,lidl markt,dresdner str. 112,01705,freital
Packstation 203wilsdruffer str. 5201705freital,kaufland,wilsdruffer str. 52,01705,freital
Packstation 110weintraubenstr. 3101445radebeul,kaufland,weintraubenstr. 31,01445,radebeul
